[2024-01-22 03:43:45,449][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:43:45,449][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:43:45,455][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:43:45,455][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:43:45,462][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:43:45,462][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:43:45,469][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:43:45,469][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:44:44,774][ WARN][ffmpeg_video_muxer.cc:78  ] Success: video stream has been written to /home/rock/modelbox/workspace/single_pig_pose/hilens_data_dir/pig_test_result.mp4
[2024-01-22 03:44:44,979][ERROR][flow_scheduler.cc:438 ] the scheduler caught an error : Stop operation
[2024-01-22 03:47:57,937][ WARN][    iva_config.cc:143 ] update vas url failed. Fault, no vas projectid or iva endpoint
[2024-01-22 03:47:57,938][ WARN][         timer.cc:208 ] Schedule timer failed, timer is not running.
[2024-01-22 03:47:59,664][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:47:59,664][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:47:59,670][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:47:59,671][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:47:59,677][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:47:59,677][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:47:59,683][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:47:59,683][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:47:59,690][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:47:59,690][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:47:59,718][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:47:59,718][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:47:59,737][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:47:59,737][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:47:59,743][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:47:59,743][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:47:59,750][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:47:59,750][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:47:59,758][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 03:47:59,758][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 03:48:31,063][ WARN][ffmpeg_video_muxer.cc:78  ] Success: video stream has been written to rtsp://192.168.3.36:8554/outstream
[2024-01-22 03:48:31,271][ERROR][flow_scheduler.cc:438 ] the scheduler caught an error : Stop operation
[2024-01-22 04:02:41,295][ WARN][    iva_config.cc:143 ] update vas url failed. Fault, no vas projectid or iva endpoint
[2024-01-22 04:02:41,295][ WARN][         timer.cc:208 ] Schedule timer failed, timer is not running.
[2024-01-22 04:02:43,053][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 04:02:43,054][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 04:02:43,060][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 04:02:43,060][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 04:02:43,066][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 04:02:43,066][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 04:02:43,072][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 04:02:43,072][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 04:02:43,079][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 04:02:43,079][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 04:02:43,106][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 04:02:43,106][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 04:02:43,125][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 04:02:43,125][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 04:02:43,131][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 04:02:43,131][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 04:02:43,138][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 04:02:43,138][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 04:02:43,146][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 04:02:43,146][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 04:03:14,529][ WARN][ffmpeg_video_muxer.cc:78  ] Success: video stream has been written to rtsp://192.168.3.36:8554/outstream
[2024-01-22 04:03:14,534][ERROR][flow_scheduler.cc:438 ] the scheduler caught an error : Stop operation
[2024-01-22 04:32:20,728][ WARN][    iva_config.cc:143 ] update vas url failed. Fault, no vas projectid or iva endpoint
[2024-01-22 04:32:20,728][ WARN][         timer.cc:208 ] Schedule timer failed, timer is not running.
[2024-01-22 04:32:22,397][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 04:32:22,397][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 04:32:22,403][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 04:32:22,403][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 04:32:22,409][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 04:32:22,410][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 04:32:22,415][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 04:32:22,415][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 04:32:22,422][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 04:32:22,422][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 04:32:22,453][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 04:32:22,453][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
